source,target,freq,max_freq,weight,is_primary
apiApplications,header,19,19,1,TRUE
apiApplications,oidc,1,19,0.052631579,FALSE
apiApplications,header-dropdown,4,19,0.210526316,FALSE
apiApplications,apikeys,2,19,0.105263158,FALSE
apiApplications,analytics,1,19,0.052631579,FALSE
header,usage,75,1030,0.072815534,FALSE
header,analytics,30,1030,0.029126214,FALSE
header,focus,28,1030,0.027184466,FALSE
header,createApiKeys,2,1030,0.001941748,FALSE
header,welcome,608,1030,0.590291262,FALSE
header,header-dropdown,488,1030,0.473786408,FALSE
header,viewUser,56,1030,0.054368932,FALSE
header,map,18,1030,0.017475728,FALSE
header,apikeys,31,1030,0.030097087,FALSE
header,photos,3,1030,0.002912621,FALSE
header,search,6,1030,0.005825243,FALSE
header,redux-responsive,1,1030,0.000970874,FALSE
header,users,13,1030,0.012621359,FALSE
header,history,1,1030,0.000970874,FALSE
header,sidebar,1,1030,0.000970874,FALSE
header,oidc,1030,1030,1,TRUE
header,copy,18,1030,0.017475728,FALSE
header,apiApplications,31,1030,0.030097087,FALSE
header,account-search,50,1030,0.048543689,FALSE
header,update,2,1030,0.001941748,FALSE
header,device-info,2,1030,0.001941748,FALSE
history,focus,94169,478365,0.196855957,FALSE
history,context-menu,288,478365,0.000602051,FALSE
history,tilesets,23,478365,4.80804E-05,FALSE
history,sidebar,1324,478365,0.002767761,FALSE
history,projects,2,478365,4.18091E-06,FALSE
history,welcome,12,478365,2.50854E-05,FALSE
history,user,9,478365,1.88141E-05,FALSE
history,project,2,478365,4.18091E-06,FALSE
history,surveys,10129,478365,0.021174208,FALSE
history,search,3327,478365,0.00695494,FALSE
history,oidc,113,478365,0.000236221,FALSE
history,redux-responsive,23,478365,4.80804E-05,FALSE
history,header,6,478365,1.25427E-05,FALSE
history,information,2,478365,4.18091E-06,FALSE
history,watchlist,1,478365,2.09045E-06,FALSE
history,photos,478365,478365,1,TRUE
history,map,89638,478365,0.18738411,FALSE
history,photo-info,17033,478365,0.035606702,FALSE
history,analytics,3202,478365,0.006693634,FALSE
history,device-info,263,478365,0.000549789,FALSE
history,map-export,5,478365,1.04523E-05,FALSE
layers,map,13,13,1,TRUE
layers,focus,13,13,1,TRUE
layers,analytics,3,13,0.230769231,FALSE
layers,photos,8,13,0.615384615,FALSE
layers,history,1,13,0.076923077,FALSE
map,photos,74809,434206,0.17228919,FALSE
map,analytics,5546,434206,0.012772739,FALSE
map,device-info,12533,434206,0.02886418,FALSE
map,photo-info,5379,434206,0.012388129,FALSE
map,context-menu,360,434206,0.0008291,FALSE
map,sidebar,223,434206,0.000513581,FALSE
map,tilesets,11,434206,2.53336E-05,FALSE
map,project,1,434206,2.30305E-06,FALSE
map,search,16917,434206,0.03896077,FALSE
map,redux-responsive,904,434206,0.002081961,FALSE
map,information,5244,434206,0.012077217,FALSE
map,map-export,58,434206,0.000133577,FALSE
map,welcome,26,434206,5.98794E-05,FALSE
map,layers,4,434206,9.21222E-06,FALSE
map,header,5,434206,1.15153E-05,FALSE
map,header-dropdown,1,434206,2.30305E-06,FALSE
map,focus,66927,434206,0.154136516,FALSE
map,user,13,434206,2.99397E-05,FALSE
map,projects,5,434206,1.15153E-05,FALSE
map,history,434206,434206,1,TRUE
map,oidc,330,434206,0.000760008,FALSE
map,surveys,7,434206,1.61214E-05,FALSE
oidc,map,329,15848,0.020759717,FALSE
oidc,device-info,32,15848,0.002019182,FALSE
oidc,redux-responsive,28,15848,0.001766784,FALSE
oidc,header,22,15848,0.001388188,FALSE
oidc,watchlist-dialog,1,15848,6.30994E-05,FALSE
oidc,search,7,15848,0.000441696,FALSE
oidc,projects,164,15848,0.010348309,FALSE
oidc,focus,993,15848,0.062657749,FALSE
oidc,welcome,62,15848,0.003912166,FALSE
oidc,history,15848,15848,1,TRUE
oidc,analytics,80,15848,0.005047956,FALSE
oidc,surveys,40,15848,0.002523978,FALSE
oidc,tilesets,97,15848,0.006120646,FALSE
oidc,photos,9,15848,0.000567895,FALSE
update,header,2,2,1,TRUE
analytics,map,21432,25479,0.841163311,FALSE
analytics,search,8898,25479,0.349228777,FALSE
analytics,device-info,72,25479,0.002825857,FALSE
analytics,map-export,305,25479,0.011970642,FALSE
analytics,header,143,25479,0.005612465,FALSE
analytics,redux-responsive,478,25479,0.018760548,FALSE
analytics,header-dropdown,5,25479,0.00019624,FALSE
analytics,layers,3,25479,0.000117744,FALSE
analytics,surveys,39,25479,0.001530672,FALSE
analytics,copy,1,25479,3.9248E-05,FALSE
analytics,account-search,4,25479,0.000156992,FALSE
analytics,usage,4,25479,0.000156992,FALSE
analytics,oidc,1992,25479,0.078182032,FALSE
analytics,context-menu,305,25479,0.011970642,FALSE
analytics,sidebar,153,25479,0.006004945,FALSE
analytics,viewUser,2,25479,7.8496E-05,FALSE
analytics,project,1,25479,3.9248E-05,FALSE
analytics,focus,25479,25479,1,TRUE
analytics,photos,5664,25479,0.222300718,FALSE
analytics,information,55,25479,0.00215864,FALSE
analytics,welcome,500,25479,0.019624004,FALSE
analytics,user,25,25479,0.0009812,FALSE
analytics,watchlist-dialog,4,25479,0.000156992,FALSE
analytics,history,3284,25479,0.128890459,FALSE
analytics,photo-info,271,25479,0.01063621,FALSE
analytics,watchlist,7,25479,0.000274736,FALSE
analytics,save-map-dialog,2,25479,7.8496E-05,FALSE
apikeys,analytics,1,34,0.029411765,FALSE
apikeys,header,34,34,1,TRUE
apikeys,header-dropdown,11,34,0.323529412,FALSE
apikeys,welcome,22,34,0.647058824,FALSE
apikeys,oidc,3,34,0.088235294,FALSE
apikeys,copy,28,34,0.823529412,FALSE
apikeys,viewUser,2,34,0.058823529,FALSE
context-menu,focus,5653,5653,1,TRUE
createApiKeys,header,1,1,1,TRUE
focus,search,73823,98838,0.746909084,FALSE
focus,photo-info,27068,98838,0.27386228,FALSE
focus,map-export,3095,98838,0.031313867,FALSE
focus,context-menu,1401,98838,0.01417471,FALSE
focus,save-map-dialog,222,98838,0.0022461,FALSE
focus,watchlist,250,98838,0.002529392,FALSE
focus,tilesets,70,98838,0.00070823,FALSE
focus,layers,24,98838,0.000242822,FALSE
focus,users,1,98838,1.01176E-05,FALSE
focus,analytics,32193,98838,0.325714806,FALSE
focus,sidebar,6148,98838,0.062202796,FALSE
focus,history,9737,98838,0.098514741,FALSE
focus,user,1867,98838,0.018889496,FALSE
focus,projects,147,98838,0.001487282,FALSE
focus,project,6743,98838,0.068222748,FALSE
focus,welcome,456,98838,0.00461361,FALSE
focus,apikeys,1,98838,1.01176E-05,FALSE
focus,device-info,8927,98838,0.090319513,FALSE
focus,surveys,59377,98838,0.600750723,FALSE
focus,oidc,2328,98838,0.023553694,FALSE
focus,redux-responsive,338,98838,0.003419737,FALSE
focus,header,182,98838,0.001841397,FALSE
focus,viewUser,8,98838,8.09405E-05,FALSE
focus,copy,1,98838,1.01176E-05,FALSE
focus,header-dropdown,14,98838,0.000141646,FALSE
focus,map,98838,98838,1,TRUE
focus,photos,95076,98838,0.961937716,FALSE
focus,information,8526,98838,0.086262369,FALSE
focus,watchlist-dialog,189,98838,0.00191222,FALSE
focus,account-search,4,98838,4.04703E-05,FALSE
focus,usage,1,98838,1.01176E-05,FALSE
header-dropdown,oidc,6,266,0.022556391,FALSE
header-dropdown,analytics,2,266,0.007518797,FALSE
header-dropdown,focus,5,266,0.018796992,FALSE
header-dropdown,history,2,266,0.007518797,FALSE
header-dropdown,copy,6,266,0.022556391,FALSE
header-dropdown,viewUser,7,266,0.026315789,FALSE
header-dropdown,welcome,73,266,0.27443609,FALSE
header-dropdown,header,266,266,1,TRUE
header-dropdown,apikeys,14,266,0.052631579,FALSE
header-dropdown,map,1,266,0.003759398,FALSE
map-export,focus,4280,4280,1,TRUE
map-export,save-map-dialog,14,4280,0.003271028,FALSE
search,history,18676,60149,0.310495603,FALSE
search,photo-info,6204,60149,0.103143859,FALSE
search,oidc,39,60149,0.00064839,FALSE
search,sidebar,6,60149,9.97523E-05,FALSE
search,surveys,4,60149,6.65015E-05,FALSE
search,watchlist-dialog,1,60149,1.66254E-05,FALSE
search,photos,5194,60149,0.086352225,FALSE
search,information,1022,60149,0.016991139,FALSE
search,analytics,1585,60149,0.026351228,FALSE
search,context-menu,35,60149,0.000581888,FALSE
search,redux-responsive,16,60149,0.000266006,FALSE
search,device-info,9,60149,0.000149628,FALSE
search,header,1,60149,1.66254E-05,FALSE
search,focus,60149,60149,1,TRUE
search,map,29879,60149,0.496749738,FALSE
search,user,18,60149,0.000299257,FALSE
search,welcome,8,60149,0.000133003,FALSE
search,map-export,2,60149,3.32508E-05,FALSE
usage,welcome,5,52,0.096153846,FALSE
usage,header-dropdown,2,52,0.038461538,FALSE
usage,header,52,52,1,TRUE
usage,oidc,1,52,0.019230769,FALSE
user,oidc,2,1939,0.00103146,FALSE
user,focus,1939,1939,1,TRUE
user,sidebar,146,1939,0.075296545,FALSE
user,welcome,1,1939,0.00051573,FALSE
watchlist-dialog,focus,238,238,1,TRUE
welcome,viewUser,39,4588,0.008500436,FALSE
welcome,history,4,4588,0.00087184,FALSE
welcome,copy,25,4588,0.005448997,FALSE
welcome,photos,1,4588,0.00021796,FALSE
welcome,header,1165,4588,0.253923278,FALSE
welcome,oidc,4588,4588,1,TRUE
welcome,header-dropdown,239,4588,0.052092415,FALSE
welcome,analytics,26,4588,0.005666957,FALSE
welcome,redux-responsive,1,4588,0.00021796,FALSE
welcome,map,4,4588,0.00087184,FALSE
welcome,account-search,26,4588,0.005666957,FALSE
welcome,search,5,4588,0.001089799,FALSE
welcome,apikeys,58,4588,0.012641674,FALSE
welcome,focus,8,4588,0.001743679,FALSE
welcome,usage,5,4588,0.001089799,FALSE
cardinal-photos-error-dialog,analytics,2,46,0.043478261,FALSE
cardinal-photos-error-dialog,focus,41,46,0.891304348,FALSE
cardinal-photos-error-dialog,photos,46,46,1,TRUE
information,search,2,9859,0.00020286,FALSE
information,oidc,1,9859,0.00010143,FALSE
information,map,153,9859,0.015518815,FALSE
information,device-info,1,9859,0.00010143,FALSE
information,context-menu,78,9859,0.007911553,FALSE
information,photo-info,689,9859,0.069885384,FALSE
information,analytics,7,9859,0.000710011,FALSE
information,history,5,9859,0.000507151,FALSE
information,focus,9859,9859,1,TRUE
information,photos,4196,9859,0.425600974,FALSE
photos,photo-info,26312,336456,0.078203391,FALSE
photos,analytics,29655,336456,0.088139311,FALSE
photos,context-menu,3011,336456,0.008949164,FALSE
photos,focus,131273,336456,0.390163944,FALSE
photos,sidebar,64,336456,0.000190218,FALSE
photos,project,5,336456,1.48608E-05,FALSE
photos,cardinal-photos-error-dialog,89,336456,0.000264522,FALSE
photos,user,17,336456,5.05267E-05,FALSE
photos,projects,5,336456,1.48608E-05,FALSE
photos,map,336456,336456,1,TRUE
photos,search,16445,336456,0.048877119,FALSE
photos,information,124,336456,0.000368547,FALSE
photos,device-info,2649,336456,0.007873243,FALSE
photos,surveys,3666,336456,0.010895927,FALSE
photos,welcome,127,336456,0.000377464,FALSE
photos,redux-responsive,694,336456,0.002062677,FALSE
photos,header-dropdown,3,336456,8.91647E-06,FALSE
photos,tilesets,2,336456,5.94431E-06,FALSE
photos,history,158501,336456,0.47108983,FALSE
photos,map-export,814,336456,0.002419336,FALSE
photos,oidc,420,336456,0.001248306,FALSE
photos,header,37,336456,0.00010997,FALSE
photos,layers,4,336456,1.18886E-05,FALSE
photos,watchlist,3,336456,8.91647E-06,FALSE
project,welcome,4,6769,0.000590929,FALSE
project,sidebar,1,6769,0.000147732,FALSE
project,header-dropdown,1,6769,0.000147732,FALSE
project,focus,12,6769,0.001772788,FALSE
project,search,4,6769,0.000590929,FALSE
project,photos,1,6769,0.000147732,FALSE
project,analytics,3,6769,0.000443197,FALSE
project,map,6769,6769,1,TRUE
project,oidc,16,6769,0.002363717,FALSE
project,history,2,6769,0.000295465,FALSE
project,header,2,6769,0.000295465,FALSE
sidebar,map,1763,5248,0.3359375,FALSE
sidebar,photos,80,5248,0.015243902,FALSE
sidebar,user,138,5248,0.026295732,FALSE
sidebar,context-menu,1,5248,0.000190549,FALSE
sidebar,tilesets,5,5248,0.000952744,FALSE
sidebar,map-export,2,5248,0.000381098,FALSE
sidebar,welcome,3,5248,0.000571646,FALSE
sidebar,focus,5248,5248,1,TRUE
sidebar,analytics,355,5248,0.067644817,FALSE
sidebar,history,80,5248,0.015243902,FALSE
sidebar,oidc,304,5248,0.057926829,FALSE
sidebar,save-map-dialog,13,5248,0.002477134,FALSE
sidebar,photo-info,9,5248,0.001714939,FALSE
sidebar,surveys,3,5248,0.000571646,FALSE
sidebar,device-info,2,5248,0.000381098,FALSE
sidebar,redux-responsive,4,5248,0.000762195,FALSE
sidebar,search,57,5248,0.01086128,FALSE
sidebar,project,1,5248,0.000190549,FALSE
sidebar,header,2,5248,0.000381098,FALSE
tilesets,map,30,100,0.3,FALSE
tilesets,search,9,100,0.09,FALSE
tilesets,redux-responsive,1,100,0.01,FALSE
tilesets,photos,3,100,0.03,FALSE
tilesets,focus,54,100,0.54,FALSE
tilesets,welcome,1,100,0.01,FALSE
tilesets,oidc,3,100,0.03,FALSE
tilesets,history,100,100,1,TRUE
tilesets,analytics,5,100,0.05,FALSE
tilesets,project,1,100,0.01,FALSE
users,map,1,9,0.111111111,FALSE
users,header,9,9,1,TRUE
watchlist,focus,185,185,1,TRUE
watchlist,watchlist-dialog,43,185,0.232432432,FALSE
watchlist,analytics,28,185,0.151351351,FALSE
watchlist,map,2,185,0.010810811,FALSE
watchlist,search,1,185,0.005405405,FALSE
watchlist,oidc,1,185,0.005405405,FALSE
watchlist,photos,2,185,0.010810811,FALSE
account-search,oidc,1,78,0.012820513,FALSE
account-search,header,78,78,1,TRUE
account-search,usage,1,78,0.012820513,FALSE
account-search,welcome,4,78,0.051282051,FALSE
account-search,header-dropdown,1,78,0.012820513,FALSE
account-search,search,1,78,0.012820513,FALSE
copy,header,15,17,0.882352941,FALSE
copy,oidc,3,17,0.176470588,FALSE
copy,apikeys,17,17,1,TRUE
copy,header-dropdown,2,17,0.117647059,FALSE
copy,search,1,17,0.058823529,FALSE
copy,focus,1,17,0.058823529,FALSE
copy,welcome,6,17,0.352941176,FALSE
copy,analytics,1,17,0.058823529,FALSE
device-info,search,191,11816,0.016164523,FALSE
device-info,photos,8411,11816,0.711831415,FALSE
device-info,map,11816,11816,1,TRUE
device-info,redux-responsive,197,11816,0.016672309,FALSE
device-info,map-export,19,11816,0.001607989,FALSE
device-info,welcome,6,11816,0.000507786,FALSE
device-info,layers,3,11816,0.000253893,FALSE
device-info,analytics,727,11816,0.061526743,FALSE
device-info,history,2427,11816,0.205399458,FALSE
device-info,oidc,219,11816,0.018534191,FALSE
device-info,photo-info,33,11816,0.002792823,FALSE
device-info,project,1,11816,8.4631E-05,FALSE
device-info,projects,9,11816,0.000761679,FALSE
device-info,surveys,2,11816,0.000169262,FALSE
device-info,header,2,11816,0.000169262,FALSE
device-info,focus,946,11816,0.080060934,FALSE
device-info,sidebar,4,11816,0.000338524,FALSE
device-info,context-menu,3,11816,0.000253893,FALSE
device-info,user,2,11816,0.000169262,FALSE
device-info,information,3,11816,0.000253893,FALSE
device-info,watchlist,1,11816,8.4631E-05,FALSE
photo-info,history,4584,35670,0.128511354,FALSE
photo-info,context-menu,172,35670,0.004821979,FALSE
photo-info,surveys,81,35670,0.002270816,FALSE
photo-info,watchlist,1,35670,2.80348E-05,FALSE
photo-info,search,3105,35670,0.087047939,FALSE
photo-info,oidc,19,35670,0.00053266,FALSE
photo-info,focus,23454,35670,0.657527334,FALSE
photo-info,photos,35670,35670,1,TRUE
photo-info,analytics,1509,35670,0.042304458,FALSE
photo-info,map,14321,35670,0.401485842,FALSE
photo-info,redux-responsive,27,35670,0.000756939,FALSE
photo-info,information,19,35670,0.00053266,FALSE
photo-info,device-info,32,35670,0.000897112,FALSE
photo-info,sidebar,2,35670,5.60695E-05,FALSE
photo-info,welcome,3,35670,8.41043E-05,FALSE
projects,history,165,165,1,TRUE
projects,search,2,165,0.012121212,FALSE
projects,project,44,165,0.266666667,FALSE
projects,photos,9,165,0.054545455,FALSE
projects,map,11,165,0.066666667,FALSE
projects,focus,4,165,0.024242424,FALSE
projects,device-info,96,165,0.581818182,FALSE
projects,redux-responsive,1,165,0.006060606,FALSE
redux-responsive,project,20,1982,0.010090817,FALSE
redux-responsive,history,2,1982,0.001009082,FALSE
redux-responsive,oidc,12,1982,0.00605449,FALSE
redux-responsive,search,5,1982,0.002522704,FALSE
redux-responsive,header,2,1982,0.001009082,FALSE
redux-responsive,map,1982,1982,1,TRUE
redux-responsive,photos,123,1982,0.062058527,FALSE
redux-responsive,focus,34,1982,0.01715439,FALSE
redux-responsive,photo-info,7,1982,0.003531786,FALSE
redux-responsive,welcome,1,1982,0.000504541,FALSE
redux-responsive,device-info,479,1982,0.241675076,FALSE
redux-responsive,analytics,29,1982,0.014631685,FALSE
save-map-dialog,focus,235,235,1,TRUE
save-map-dialog,sidebar,14,235,0.059574468,FALSE
save-map-dialog,map,2,235,0.008510638,FALSE
surveys,device-info,1,50384,1.98476E-05,FALSE
surveys,map,10155,50384,0.20155208,FALSE
surveys,search,1,50384,1.98476E-05,FALSE
surveys,header,2,50384,3.96951E-05,FALSE
surveys,photos,3646,50384,0.072364243,FALSE
surveys,photo-info,17,50384,0.000337409,FALSE
surveys,oidc,9,50384,0.000178628,FALSE
surveys,history,50384,50384,1,TRUE
surveys,focus,9115,50384,0.180910607,FALSE
surveys,analytics,11,50384,0.000218323,FALSE
viewUser,header,63,63,1,TRUE
viewUser,welcome,6,63,0.095238095,FALSE
viewUser,header-dropdown,14,63,0.222222222,FALSE
viewUser,apikeys,2,63,0.031746032,FALSE
viewUser,oidc,5,63,0.079365079,FALSE
viewUser,analytics,4,63,0.063492063,FALSE
viewUser,focus,3,63,0.047619048,FALSE